symbol,timestamp,trade_number,action,entry_price,exit_price,price_change_pct,prob,pred_direction,actual_direction,correct,position_size_pct,trade_capital,pnl_pct,pnl_amount,fee_paid,capital_after,peak_capital,drawdown_pct,cumulative_pnl,cumulative_trades,cumulative_win_rate_pct,portfolio_return_pct
BTC/USDT,2026-02-03 07:00:00,349,SHORT,0.984156,1.100753,11.8473,0.0,0,1,False,25.0,0.06,-11.9473,-0.01,0.0001,0.23,1119.16,-99.98,-999.77,349,47.56,-99.98
BTC/USDT,2026-02-03 08:00:00,350,SHORT,1.100753,1.166081,5.9349,0.0,0,1,False,25.0,0.06,-6.0349,-0.0,0.0001,0.23,1119.16,-99.98,-999.77,350,47.43,-99.98
BTC/USDT,2026-02-03 09:00:00,351,SHORT,1.166081,0.946908,-18.7957,0.0,0,0,True,25.0,0.06,18.6957,0.01,0.0001,0.24,1119.16,-99.98,-999.76,351,47.58,-99.98
BTC/USDT,2026-02-03 10:00:00,352,SHORT,0.946908,0.564815,-40.3517,0.0,0,0,True,25.0,0.06,40.2517,0.02,0.0001,0.26,1119.16,-99.98,-999.74,352,47.73,-99.97
BTC/USDT,2026-02-03 11:00:00,353,SHORT,0.564815,0.472824,-16.2869,0.0,0,0,True,25.0,0.07,16.1869,0.01,0.0001,0.27,1119.16,-99.98,-999.73,353,47.88,-99.97
BTC/USDT,2026-02-03 12:00:00,354,SHORT,0.472824,0.844294,78.5641,0.0,0,1,False,25.0,0.07,-78.6641,-0.05,0.0001,0.22,1119.16,-99.98,-999.78,354,47.74,-99.98
BTC/USDT,2026-02-03 13:00:00,355,SHORT,0.844294,0.629182,-25.4783,0.0,0,0,True,25.0,0.05,25.3783,0.01,0.0001,0.23,1119.16,-99.98,-999.77,355,47.89,-99.98
BTC/USDT,2026-02-03 14:00:00,356,SHORT,0.629182,0.978607,55.5364,0.0,0,1,False,25.0,0.06,-55.6364,-0.03,0.0001,0.2,1119.16,-99.98,-999.8,356,47.75,-99.98
BTC/USDT,2026-02-03 15:00:00,357,SHORT,0.978607,0.987708,0.9301,0.0,0,1,False,25.0,0.05,-1.0301,-0.0,0.0001,0.2,1119.16,-99.98,-999.8,357,47.62,-99.98
BTC/USDT,2026-02-03 16:00:00,358,SHORT,0.987708,1.417299,43.4937,0.0,0,1,False,25.0,0.05,-43.5937,-0.02,0.0,0.18,1119.16,-99.98,-999.82,358,47.49,-99.98
BTC/USDT,2026-02-03 17:00:00,359,SHORT,1.417299,1.610053,13.6001,0.0,0,1,False,25.0,0.04,-13.7001,-0.01,0.0,0.17,1119.16,-99.98,-999.83,359,47.35,-99.98
BTC/USDT,2026-02-03 18:00:00,360,SHORT,1.610053,1.731778,7.5603,0.0,0,1,False,25.0,0.04,-7.6603,-0.0,0.0,0.17,1119.16,-99.98,-999.83,360,47.22,-99.98
BTC/USDT,2026-02-03 19:00:00,361,SHORT,1.731778,2.001747,15.5891,0.0,0,1,False,25.0,0.04,-15.6891,-0.01,0.0,0.16,1119.16,-99.99,-999.84,361,47.09,-99.98
BTC/USDT,2026-02-03 20:00:00,362,SHORT,2.001747,1.237247,-38.1916,0.0,0,0,True,25.0,0.04,38.0916,0.02,0.0,0.18,1119.16,-99.98,-999.82,362,47.24,-99.98
BTC/USDT,2026-02-03 21:00:00,363,SHORT,1.237247,1.814006,46.6162,0.0,0,1,False,25.0,0.04,-46.7162,-0.02,0.0,0.16,1119.16,-99.99,-999.84,363,47.11,-99.98
